index,amount of compares,size of array
888,394716,889
889,395605,890
890,396495,891
891,397386,892
892,398278,893
893,399171,894
894,400065,895
895,400960,896
896,401856,897
897,402753,898
898,403651,899
899,404550,900
900,405450,901
901,406351,902
902,407253,903
903,408156,904
904,409060,905
905,409965,906
906,410871,907
907,411778,908
908,412686,909
909,413595,910
910,414505,911
911,415416,912
912,416328,913
913,417241,914
914,418155,915
915,419070,916
916,419986,917
917,420903,918
918,421821,919
919,422740,920
920,423660,921
921,424581,922
922,425503,923
923,426426,924
924,427350,925
925,428275,926
926,429201,927
927,430128,928
928,431056,929
929,431985,930
930,432915,931
931,433846,932
932,434778,933
933,435711,934
934,436645,935
935,437580,936
936,438516,937
937,439453,938
938,440391,939
939,441330,940
940,442270,941
941,443211,942
942,444153,943
943,445096,944
944,446040,945
945,446985,946
946,447931,947
947,448878,948
948,449826,949
949,450775,950
950,451725,951
951,452676,952
952,453628,953
953,454581,954
954,455535,955
955,456490,956
956,457446,957
957,458403,958
958,459361,959
959,460320,960
960,461280,961
961,462241,962
962,463203,963
963,464166,964
964,465130,965
965,466095,966
966,467061,967
967,468028,968
968,468996,969
969,469965,970
970,470935,971
971,471906,972
972,472878,973
973,473851,974
974,474825,975
975,475800,976
976,476776,977
977,477753,978
978,478731,979
979,479710,980
980,480690,981
981,481671,982
982,482653,983
983,483636,984
984,484620,985
985,485605,986
986,486591,987
987,487578,988
988,488566,989
989,489555,990
990,490545,991
991,491536,992
992,492528,993
993,493521,994
994,494515,995
995,495510,996
996,496506,997
997,497503,998
998,498501,999
999,499500,1000
